sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,personalization,price,required_options,sets,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
A2E-046,,Default,simple,,Specials,base,,,,5/10/2014 22:10:00,,,,,The Cherry Blossoms note card set includes a mixture of vibrant pink with vivacious reds and emerald greens folding into a lush mosaic pattern.,,1,1,/a/2/a2e-044_1.jpg,cherry-blossoms-29.html,,,,,,,,Use config,Use config,Cherry Blossoms,,,Block after Info Column,,Yes,12,0,,The Cherry Blossoms note card set includes a mixture of vibrant pink with vivacious reds and emerald greens folding into a lush mosaic pattern.,/a/2/a2e-044-tmb_1.jpg,,,,,1,2,/a/2/a2e-044_1.jpg,,9/10/2014 0:24:00,cherry-blossoms,cherry-blossoms-30.html,4,1,149,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,all,all,100,48,,,,88,/a/2/a2e-006_8.jpg,,1,0,,drop_down,Order Sets,0,,,0,0,Set of 100,36,,0
A2E-044,,Default,simple,,Specials,base,,,,5/10/2014 22:10:00,,,,,The Annie's Dragon note card set includes a mixture of elegant red with soft black and old gold folding into a lush mosaic pattern..,,1,1,/a/2/a2e-046_1.jpg,,,,,,,,,Use config,Use config,Annie's Dragon,,,Block after Info Column,,Yes,12,0,,The Annie's Dragon note card set includes a mixture of elegant red with soft black and old gold folding into a lush mosaic pattern..,/a/2/a2e-046-tmb_1.jpg,,,,,1,2,/a/2/a2e-046_1.jpg,,9/10/2014 0:24:00,annies-dragon,annies-dragon-29.html,4,1,150,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,all,all,100,48,,,,88,/a/2/a2e-006_8.jpg,,1,0,,drop_down,Order Sets,0,,,0,0,Set of 100,36,,0
A2E-039,,Default,simple,,Specials,base,,,,5/10/2014 22:10:00,,,,,The Last Empress note card set includes a mixture of majestic golds with eye catching reds folding into a lush mosaic pattern.,,1,1,/a/2/a2e-039_5.jpg,,,,,,,,,Use config,Use config,Last Empress,,,Block after Info Column,,Yes,10,0,,The Last Empress note card set includes a mixture of majestic golds with eye catching reds folding into a lush mosaic pattern.,/a/2/a2e-039-tmb_1.jpg,,,,,1,2,/a/2/a2e-039_1.jpg,,9/10/2014 0:24:00,last-empress,last-empress-28.html,4,1,150,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,all,all,100,40,,,,88,/a/2/a2e-006_8.jpg,,1,0,,drop_down,Order Sets,0,,,0,0,Set of 100,30,,0
A2E-038,,Default,simple,,Specials,base,,,,5/10/2014 22:10:00,,,,,The African Tulips note card set consists of a mosaic of vibrant green and lilac tulip-shaped designs-a common motif in many West African cloth worn by women.,,1,1,/a/2/a2e-038_5.jpg,,,,,,,,,Use config,Use config,African Tulip,,,Block after Info Column,,Yes,10,0,,The African Tulips note card set consists of a mosaic of vibrant green and lilac tulip-shaped designs-a common motif in many West African cloth worn by women.,/a/2/a2e-038-tmb_1.jpg,,,,,1,2,/a/2/a2e-038_1.jpg,,9/10/2014 0:24:00,african-tulip,african-tulip-27.html,4,1,150,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,all,all,100,40,,,,88,/a/2/a2e-006_8.jpg,,1,0,,drop_down,Order Sets,0,,,0,0,Set of 100,30,,0
A2E-037,,Default,simple,,Specials,base,,,,5/10/2014 22:10:00,,,,,The Le Pere en Bleu note card set finds its place in a collage of deep blue with mellow gold criss-crossing lines.,,1,1,/a/2/a2e-037_5.jpg,,,,,,,,,Use config,Use config,Le Pere en Bleu,,,Block after Info Column,,Yes,10,0,,The Le Pere en Bleu note card set finds its place in a collage of deep blue with mellow gold criss-crossing lines.,/a/2/a2e-037-tmb_1.jpg,,,,,1,2,/a/2/a2e-037_1.jpg,,9/10/2014 0:24:00,le-pere-en-bleu,le-pere-en-bleu-26.html,4,1,150,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,all,all,100,40,,,,88,/a/2/a2e-006_8.jpg,,1,0,,drop_down,Order Sets,0,,,0,0,Set of 100,30,,0
A2E-030,,Default,simple,,Specials,base,,,,5/10/2014 22:10:00,,,,,The Saturn note card set consists of swirls of deep purple and silver and gold designs reminiscent of the distant planet in Earth's solar system.,,1,1,/a/2/a2e-030_1.jpg,,,,,,,,,Use config,Use config,Saturn,,,Block after Info Column,,Yes,10,0,,The Saturn note card set consists of swirls of deep purple and silver and gold designs reminiscent of the distant planet in Earth's solar system.,/a/2/a2e-030-tmb_1.jpg,,,,,1,2,/a/2/a2e-030_1.jpg,,9/10/2014 0:24:00,saturn,saturn-25.html,4,1,150,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,all,all,100,40,,,,88,/a/2/a2e-006_8.jpg,,1,0,,drop_down,Order Sets,0,,,0,0,Set of 100,30,,0
A2E-020,,Default,simple,,Specials,base,,,,5/10/2014 22:10:00,,,,,"The Foams of Aphrodite note card set consists of red, gold & black rounds running together in continuous cirles of dazzling patterns. A set includes:",,1,1,/a/2/a2e-020_5.jpg,,,,,,,,,Use config,Use config,Foams of Aphrodite,,,Block after Info Column,,Yes,10,0,,"The Foams of Aphrodite note card set consists of red, gold & black rounds running together in continuous cirles of dazzling patterns. A set includes:",/a/2/a2e-020-tmb_1.jpg,,,,,1,2,/a/2/a2e-020_1.jpg,,9/10/2014 0:24:00,foams-of-aphrodite,foams-of-aphrodite-24.html,4,1,150,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,all,all,100,40,,,,88,/a/2/a2e-006_8.jpg,,1,0,,drop_down,Order Sets,0,,,0,0,Set of 100,30,,0
A2E-015,,Default,simple,,Specials,base,,,,5/10/2014 22:10:00,,,,,The Taj Mahal note card set consists of purple and lilac and gold circles that rotate and vibrate on a black and gold background of riveting  repetitive gold lines.,,1,1,/a/2/a2e-015_5.jpg,,,,,,,,,Use config,Use config,Taj Mahal,,,Block after Info Column,,Yes,10,0,,The Taj Mahal note card set consists of purple and lilac and gold circles that rotate and vibrate on a black and gold background of riveting  repetitive gold lines.,/a/2/a2e-015-tmb_1.jpg,,,,,1,2,/a/2/a2e-015_1.jpg,,9/10/2014 0:24:00,taj-mahal,taj-mahal-23.html,4,1,150,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,all,all,100,40,,,,88,/a/2/a2e-006_8.jpg,,1,0,,drop_down,Order Sets,0,,,0,0,Set of 100,30,,0
A2E-010,,Default,simple,,Specials,base,,,,5/10/2014 22:10:00,,,,,The String Theory note card set consists of vivacious silver and soft yellow strands of vibrating energy-like strings.,,1,1,/a/2/a2e-010_5.jpg,,,,,,,,,Use config,Use config,Starbust,,,Block after Info Column,,Yes,10,0,,The String Theory note card set consists of vivacious silver and soft yellow strands of vibrating energy-like strings.,/a/2/a2e-010-tmb_1.jpg,,,,,1,2,/a/2/a2e-010_1.jpg,,9/10/2014 0:24:00,starbust,starbust-22.html,4,1,150,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,all,all,100,40,,,,88,/a/2/a2e-006_8.jpg,,1,0,,drop_down,Order Sets,0,,,0,0,Set of 100,30,,0
A2E-007,,Default,simple,,Specials,base,,,,5/10/2014 22:10:00,,,,,The Le Pere en Rouge note card set finds its place in a collage of flaming red with vibrating gold criss-crossing lines.,,1,1,/a/2/a2e-007_5.jpg,,,,,,,,,Use config,Use config,Le Pere en Rouge,,,Block after Info Column,,Yes,10,0,,The Le Pere en Rouge note card set finds its place in a collage of flaming red with vibrating gold criss-crossing lines.,/a/2/a2e-007-tmb_1.jpg,,,,,1,2,/a/2/a2e-007_1.jpg,,9/10/2014 0:24:00,le-rere-en-rouge,le-rere-en-rouge-21.html,4,1,150,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,all,all,100,40,,,,88,/a/2/a2e-006_8.jpg,,1,0,,drop_down,Order Sets,0,,,0,0,Set of 100,30,,0
